% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   664  10   10   trainscg  0.20  20000
   665  10   10   trainscg  0.20  50000
   666  10   10   trainscg  0.10   1000
   667  10   10   trainscg  0.10   5000
   668  10   10   trainscg  0.10  10000
   669  10   10   trainscg  0.10  20000
   670  10   10   trainscg  0.10  50000
   671  10   10   trainscg  0.05   1000
   672  10   10   trainscg  0.05   5000
   673  10   10   trainscg  0.05  10000
   674  10   10   trainscg  0.05  20000
   675  10   10   trainscg  0.05  50000
   676  10   10   trainscg  0.01   1000
   677  10   10   trainscg  0.01   5000
   678  10   10   trainscg  0.01  10000
   679  10   10   trainscg  0.01  20000
   680  10   10   trainscg  0.01  50000
   681  10   10   traingdm  0.20   1000
   682  10   10   traingdm  0.20   5000
   683  10   10   traingdm  0.20  10000
   684  10   10   traingdm  0.20  20000
   685  10   10   traingdm  0.20  50000
   686  10   10   traingdm  0.10   1000
   687  10   10   traingdm  0.10   5000
   688  10   10   traingdm  0.10  10000
   689  10   10   traingdm  0.10  20000
   690  10   10   traingdm  0.10  50000
   691  10   10   traingdm  0.05   1000
   692  10   10   traingdm  0.05   5000
   693  10   10   traingdm  0.05  10000
   694  10   10   traingdm  0.05  20000
   695  10   10   traingdm  0.05  50000
   696  10   10   traingdm  0.01   1000
   697  10   10   traingdm  0.01   5000
   698  10   10   traingdm  0.01  10000
   699  10   10   traingdm  0.01  20000
   700  10   10   traingdm  0.01  50000
   701  10   15    trainlm  0.20   1000
   702  10   15    trainlm  0.20   5000
   703  10   15    trainlm  0.20  10000
   704  10   15    trainlm  0.20  20000
   705  10   15    trainlm  0.20  50000
   706  10   15    trainlm  0.10   1000
   707  10   15    trainlm  0.10   5000
   708  10   15    trainlm  0.10  10000
   709  10   15    trainlm  0.10  20000
   710  10   15    trainlm  0.10  50000
   711  10   15    trainlm  0.05   1000
   712  10   15    trainlm  0.05   5000
   713  10   15    trainlm  0.05  10000
   714  10   15    trainlm  0.05  20000
   715  10   15    trainlm  0.05  50000
   716  10   15    trainlm  0.01   1000
   717  10   15    trainlm  0.01   5000
   718  10   15    trainlm  0.01  10000
   719  10   15    trainlm  0.01  20000
   720  10   15    trainlm  0.01  50000
   721  10   15    traingd  0.20   1000
   722  10   15    traingd  0.20   5000
   723  10   15    traingd  0.20  10000
   724  10   15    traingd  0.20  20000
   725  10   15    traingd  0.20  50000
   726  10   15    traingd  0.10   1000
   727  10   15    traingd  0.10   5000
   728  10   15    traingd  0.10  10000
   729  10   15    traingd  0.10  20000
   730  10   15    traingd  0.10  50000
   731  10   15    traingd  0.05   1000
   732  10   15    traingd  0.05   5000
   733  10   15    traingd  0.05  10000
   734  10   15    traingd  0.05  20000
   735  10   15    traingd  0.05  50000
